locus_tag	ftype	length_bp	gene	EC_number	COG	product
AABHNHAC_02347	CDS	486	sixA	3.1.3.-	COG2062	Phosphohistidine phosphatase SixA
AABHNHAC_02348	CDS	2145	fadJ		COG1024	Fatty acid oxidation complex subunit alpha
AABHNHAC_02349	CDS	1311	fadI	2.3.1.16	COG0183	3-ketoacyl-CoA thiolase FadI
AABHNHAC_02350	CDS	285				hypothetical protein
AABHNHAC_02351	CDS	1341	fadL		COG2067	Long-chain fatty acid transport protein
AABHNHAC_02352	CDS	1059				hypothetical protein
AABHNHAC_02353	CDS	756	mlaA		COG2853	Intermembrane phospholipid transport system lipoprotein MlaA
AABHNHAC_02354	CDS	933	yfdC		COG2116	Inner membrane protein YfdC
AABHNHAC_02355	tRNA	75				tRNA-Arg(cct)
AABHNHAC_02356	CDS	1158	intS_1		COG0582	Prophage integrase IntS
AABHNHAC_02357	CDS	921	yfdH	2.4.1.-	COG0463	Prophage bactoprenol glucosyl transferase 
AABHNHAC_02358	CDS	1332				hypothetical protein
AABHNHAC_02359	CDS	303	tfaE_4			Prophage tail fiber assembly protein TfaE
AABHNHAC_02360	CDS	441				hypothetical protein
AABHNHAC_02361	CDS	603				hypothetical protein
AABHNHAC_02362	CDS	276				hypothetical protein
AABHNHAC_02363	CDS	495				hypothetical protein
AABHNHAC_02364	CDS	369				hypothetical protein
AABHNHAC_02365	CDS	363				hypothetical protein
AABHNHAC_02366	CDS	825				hypothetical protein
AABHNHAC_02367	CDS	537				hypothetical protein
AABHNHAC_02368	CDS	363				hypothetical protein
AABHNHAC_02369	CDS	306				hypothetical protein
AABHNHAC_02370	CDS	201	torI			Response regulator inhibitor for tor operon
AABHNHAC_02371	CDS	936	dsdC		COG0583	HTH-type transcriptional regulator DsdC
AABHNHAC_02372	CDS	1338	dsdX		COG2610	D-serine transporter DsdX
AABHNHAC_02373	CDS	1329	dsdA	4.3.1.18	COG3048	D-serine dehydratase
AABHNHAC_02374	CDS	1539	emrY			putative multidrug resistance protein EmrY
AABHNHAC_02375	CDS	1164	emrK		COG1566	putative multidrug resistance protein EmrK
AABHNHAC_02376	CDS	615	evgA			DNA-binding transcriptional activator EvgA
AABHNHAC_02377	CDS	3594	evgS	2.7.13.3	COG0784	Sensor protein EvgS
AABHNHAC_02378	CDS	1146	yfdE	2.8.3.19	COG1804	Acetyl-CoA:oxalate CoA-transferase
AABHNHAC_02379	CDS	945				hypothetical protein
AABHNHAC_02380	CDS	1695	oxc	4.1.1.8	COG0028	Oxalyl-CoA decarboxylase
AABHNHAC_02381	CDS	1251	frc	2.8.3.16	COG1804	Formyl-CoA:oxalate CoA-transferase
AABHNHAC_02382	CDS	636	yfdX			Protein YfdX
AABHNHAC_02383	CDS	276				hypothetical protein
AABHNHAC_02384	CDS	243				hypothetical protein
AABHNHAC_02385	CDS	921	lpxP	2.3.1.242	COG1560	Lipid A biosynthesis palmitoleoyltransferase
AABHNHAC_02386	CDS	1239	alaC	2.6.1.2	COG0436	Glutamate-pyruvate aminotransferase AlaC
AABHNHAC_02387	CDS	1698	ypdA	2.7.13.3	COG3275	Sensor histidine kinase YpdA
AABHNHAC_02388	CDS	735	ypdB		COG3279	Transcriptional regulatory protein YpdB
AABHNHAC_02389	CDS	858	rhaR_3			HTH-type transcriptional activator RhaR
AABHNHAC_02390	CDS	2496	fryA_1		COG1080	Multiphosphoryl transfer protein 1
AABHNHAC_02391	CDS	1038	ypdE	3.4.11.-	COG1363	Aminopeptidase YpdE
AABHNHAC_02392	CDS	1086	ypdF	3.4.11.-	COG0006	Aminopeptidase YpdF
AABHNHAC_02393	CDS	1248	fryC		COG1299	Fructose-like permease IIC component 1
AABHNHAC_02394	CDS	327	fryB_1	2.7.1.202	COG1445	PTS system fructose-like EIIB component 1
AABHNHAC_02395	CDS	966	glk	2.7.1.2	COG0837	Glucokinase
AABHNHAC_02396	CDS	1257	yfeO			Putative ion-transport protein YfeO
AABHNHAC_02397	CDS	327				hypothetical protein
AABHNHAC_02398	CDS	1239	mntH		COG1914	Divalent metal cation transporter MntH
AABHNHAC_02399	CDS	1203	nupC		COG1972	Nucleoside permease NupC
AABHNHAC_02400	CDS	1113			COG3385	IS4 family transposase IS421
AABHNHAC_02401	CDS	141				hypothetical protein
AABHNHAC_02402	CDS	2190	pdeA	3.1.4.52		putative cyclic di-GMP phosphodiesterase PdeA
AABHNHAC_02403	tRNA	76				tRNA-Ala(ggc)
AABHNHAC_02404	tRNA	76				tRNA-Ala(ggc)
AABHNHAC_02405	CDS	360				hypothetical protein
AABHNHAC_02406	CDS	372				hypothetical protein
AABHNHAC_02407	CDS	1416	gltX	6.1.1.17	COG0008	Glutamate--tRNA ligase
AABHNHAC_02408	tRNA	76				tRNA-Val(tac)
AABHNHAC_02409	tRNA	76				tRNA-Val(tac)
AABHNHAC_02410	tRNA	76				tRNA-Val(tac)
AABHNHAC_02411	tRNA	76				tRNA-Lys(ttt)
AABHNHAC_02412	CDS	885	hcaR_2			Hca operon transcriptional activator HcaR
AABHNHAC_02413	CDS	1257	xapB			Xanthosine permease
AABHNHAC_02414	CDS	834	xapA	2.4.2.1	COG0005	Purine nucleoside phosphorylase 2
AABHNHAC_02415	CDS	765				hypothetical protein
AABHNHAC_02416	CDS	927	cynR_2			HTH-type transcriptional regulator CynR
AABHNHAC_02417	CDS	999				hypothetical protein
AABHNHAC_02418	CDS	219				hypothetical protein
AABHNHAC_02419	CDS	2016	ligA	6.5.1.2	COG0272	DNA ligase
AABHNHAC_02420	CDS	987	zipA		COG3115	Cell division protein ZipA
AABHNHAC_02421	CDS	762	cysZ		COG2981	Sulfate transporter CysZ
AABHNHAC_02422	CDS	972	cysK	2.5.1.47	COG0031	Cysteine synthase A
AABHNHAC_02423	CDS	258	ptsH		COG1925	Phosphocarrier protein HPr
AABHNHAC_02424	CDS	1728	ptsI	2.7.3.9	COG1080	Phosphoenolpyruvate-protein phosphotransferase
AABHNHAC_02425	CDS	510	crr		COG2190	PTS system glucose-specific EIIA component
AABHNHAC_02426	CDS	852	pdxK	2.7.1.35	COG2240	Pyridoxine/pyridoxal/pyridoxamine kinase
AABHNHAC_02427	CDS	375				hypothetical protein
AABHNHAC_02428	CDS	735				hypothetical protein
AABHNHAC_02429	CDS	912	cysM	2.5.1.47	COG0031	Cysteine synthase B
AABHNHAC_02430	CDS	1098	cysA	7.3.2.3	COG1118	Sulfate/thiosulfate import ATP-binding protein CysA
AABHNHAC_02431	CDS	876	cysW		COG4208	Sulfate transport system permease protein CysW
AABHNHAC_02432	CDS	834	cysT		COG0555	Sulfate transport system permease protein CysT
AABHNHAC_02433	CDS	1017	cysP		COG4150	Thiosulfate-binding protein
AABHNHAC_02434	CDS	792	ucpA	1.-.-.-		Oxidoreductase UcpA
AABHNHAC_02435	CDS	858	murR_1		COG1737	HTH-type transcriptional regulator MurR
AABHNHAC_02436	CDS	897	murQ	4.2.1.126	COG2103	N-acetylmuramic acid 6-phosphate etherase
AABHNHAC_02437	CDS	1425	murP		COG2190	PTS system N-acetylmuramic acid-specific EIIBC component
AABHNHAC_02438	CDS	1305	yfeW	3.4.16.4	COG1680	Putative D-alanyl-D-alanine carboxypeptidase
AABHNHAC_02439	CDS	900	yfeX	1.11.1.-	COG2837	Dye-decolorizing peroxidase YfeX
AABHNHAC_02440	CDS	576	yfeY			putative protein YfeY
AABHNHAC_02441	CDS	450	yfeZ			Inner membrane protein YfeZ
AABHNHAC_02442	CDS	426	ypeA	2.3.1.-	COG0456	Acetyltransferase YpeA
AABHNHAC_02443	CDS	870	amiA	3.5.1.28	COG0860	N-acetylmuramoyl-L-alanine amidase AmiA
AABHNHAC_02444	CDS	900	hemF	1.3.3.3	COG0408	Oxygen-dependent coproporphyrinogen-III oxidase
AABHNHAC_02445	CDS	1053				hypothetical protein
AABHNHAC_02446	CDS	501	eutK		COG4577	Ethanolamine utilization protein EutK
AABHNHAC_02447	CDS	660	eutL		COG4816	Ethanolamine utilization protein EutL
AABHNHAC_02448	CDS	888	eutC	4.3.1.7	COG4302	Ethanolamine ammonia-lyase light chain
AABHNHAC_02449	CDS	1362	eutB	4.3.1.7	COG4303	Ethanolamine ammonia-lyase heavy chain
AABHNHAC_02450	CDS	1209	intS_2		COG0582	Prophage integrase IntS
AABHNHAC_02451	CDS	528				hypothetical protein
AABHNHAC_02452	CDS	243				hypothetical protein
AABHNHAC_02453	CDS	369				hypothetical protein
AABHNHAC_02454	CDS	417				hypothetical protein
AABHNHAC_02455	CDS	594				hypothetical protein
AABHNHAC_02456	CDS	378				hypothetical protein
AABHNHAC_02457	CDS	393				hypothetical protein
AABHNHAC_02458	CDS	810				hypothetical protein
AABHNHAC_02459	CDS	1404				hypothetical protein
AABHNHAC_02460	CDS	1227				hypothetical protein
AABHNHAC_02461	CDS	1188	mdh_1	1.1.1.244		NAD-dependent methanol dehydrogenase
AABHNHAC_02462	CDS	837	ftsA_2			Cell division protein FtsA
AABHNHAC_02463	CDS	1404	proA_2	1.2.1.41		Gamma-glutamyl phosphate reductase
AABHNHAC_02464	CDS	288	eutN		COG4576	Ethanolamine utilization protein EutN
AABHNHAC_02465	CDS	294	eutM		COG4577	Ethanolamine utilization protein EutM
AABHNHAC_02466	CDS	1017	eutD		COG0280	Ethanolamine utilization protein EutD
AABHNHAC_02467	CDS	804				hypothetical protein
AABHNHAC_02468	CDS	702	eutQ		COG4766	Ethanolamine utilization protein EutQ
AABHNHAC_02469	CDS	480	pduV		COG4917	Propanediol utilization protein PduV
AABHNHAC_02470	CDS	336	eutS		COG4810	Ethanolamine utilization protein EutS
AABHNHAC_02471	CDS	2280	maeB	1.1.1.40	COG0280	NADP-dependent malic enzyme
AABHNHAC_02472	CDS	951	tal	2.2.1.2		Transaldolase
AABHNHAC_02473	CDS	2004	tktB	2.2.1.1	COG0021	Transketolase 2
AABHNHAC_02474	CDS	1044				hypothetical protein
AABHNHAC_02475	CDS	576	nudK	3.6.1.-		GDP-mannose pyrophosphatase NudK
AABHNHAC_02476	CDS	1980		1.18.1.2		Ferredoxin--NADP reductase
AABHNHAC_02477	CDS	1701	narQ	2.7.13.3		Nitrate/nitrite sensor protein NarQ
AABHNHAC_02478	CDS	3114	acrB_2		COG0841	Multidrug efflux pump subunit AcrB
AABHNHAC_02479	CDS	357	yffB		COG1393	Protein YffB
AABHNHAC_02480	CDS	1128	dapE	3.5.1.18	COG0624	Succinyl-diaminopimelate desuccinylase
AABHNHAC_02481	CDS	201				hypothetical protein
AABHNHAC_02482	CDS	699				hypothetical protein
AABHNHAC_02483	CDS	2016	tmcA	2.3.1.193	COG1444	tRNA(Met) cytidine acetyltransferase TmcA
AABHNHAC_02484	CDS	864			COG2321	putative protein
AABHNHAC_02485	CDS	714	purC	6.3.2.6	COG0152	Phosphoribosylaminoimidazole-succinocarboxamide synthase
AABHNHAC_02486	CDS	231				hypothetical protein
AABHNHAC_02487	CDS	1035	bamC		COG3317	Outer membrane protein assembly factor BamC
AABHNHAC_02488	CDS	879	dapA	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
AABHNHAC_02489	CDS	573	gcvR		COG2716	Glycine cleavage system transcriptional repressor
AABHNHAC_02490	CDS	471	bcp	1.11.1.15	COG1225	Peroxiredoxin Bcp
AABHNHAC_02491	CDS	618	hyfA_1	1.-.-.-	COG1142	Hydrogenase-4 component A
AABHNHAC_02492	CDS	2019	hyfB	1.-.-.-	COG0651	Hydrogenase-4 component B
AABHNHAC_02493	CDS	948	hyfC	1.-.-.-	COG0650	Hydrogenase-4 component C
AABHNHAC_02494	CDS	1440	nuoL_2	7.1.1.-	COG1009	NADH-quinone oxidoreductase subunit L
AABHNHAC_02495	CDS	651	hyfE	1.-.-.-	COG4237	Hydrogenase-4 component E
AABHNHAC_02496	CDS	1581	ndhB_1	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic
AABHNHAC_02497	CDS	1668	hyfG	1.-.-.-	COG3261	Hydrogenase-4 component G
AABHNHAC_02498	CDS	546	ndhI_1	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit I, chloroplastic
AABHNHAC_02499	CDS	759	hycG_1		COG3260	Formate hydrogenlyase subunit 7
AABHNHAC_02500	CDS	414				hypothetical protein
AABHNHAC_02501	CDS	2013	hyfR		COG3604	DNA-binding transcriptional activator HyfR
AABHNHAC_02502	CDS	849	focB		COG2116	putative formate transporter 2
AABHNHAC_02503	CDS	1062	yhhT_1		COG0628	Putative transport protein YhhT
AABHNHAC_02504	CDS	1464	bepA	3.4.-.-	COG4783	Beta-barrel assembly-enhancing protease
AABHNHAC_02505	CDS	360	yfgD		COG1393	putative protein YfgD
AABHNHAC_02506	CDS	747	hda		COG0593	DnaA regulatory inactivator Hda
AABHNHAC_02507	CDS	1290	uraA		COG2233	Uracil permease
AABHNHAC_02508	CDS	627	upp	2.4.2.9	COG0035	Uracil phosphoribosyltransferase
AABHNHAC_02509	CDS	1038	purM	6.3.3.1	COG0150	Phosphoribosylformylglycinamidine cyclo-ligase
AABHNHAC_02510	CDS	639	purN	2.1.2.2	COG0299	Phosphoribosylglycinamide formyltransferase
AABHNHAC_02511	CDS	2067	ppk	2.7.4.1	COG0855	Polyphosphate kinase
AABHNHAC_02512	CDS	1542	ppx	3.6.1.11	COG0248	Exopolyphosphatase
AABHNHAC_02513	CDS	2244	pdeF	3.1.4.52		Cyclic di-GMP phosphodiesterase PdeF
AABHNHAC_02514	CDS	153				hypothetical protein
AABHNHAC_02515	CDS	174	yfgG			Protein YfgG
AABHNHAC_02516	CDS	516				hypothetical protein
AABHNHAC_02517	CDS	540				hypothetical protein
AABHNHAC_02518	CDS	1578	guaA	6.3.5.2	COG0518	GMP synthase [glutamine-hydrolyzing]
AABHNHAC_02519	CDS	1467	guaB	1.1.1.205	COG0516	Inosine-5'-monophosphate dehydrogenase
AABHNHAC_02520	CDS	1371	xseA	3.1.11.6	COG1570	Exodeoxyribonuclease 7 large subunit
AABHNHAC_02521	CDS	216	yfgJ			putative protein YfgJ
AABHNHAC_02522	CDS	1473	der		COG1160	GTPase Der
AABHNHAC_02523	CDS	1179	bamB		COG1520	Outer membrane protein assembly factor BamB
AABHNHAC_02524	CDS	621				hypothetical protein
AABHNHAC_02525	CDS	1275	hisS	6.1.1.21	COG0124	Histidine--tRNA ligase
AABHNHAC_02526	CDS	1119	ispG	1.17.7.3	COG0821	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)
AABHNHAC_02527	CDS	1014	rodZ		COG1426	Cytoskeleton protein RodZ
AABHNHAC_02528	CDS	1155	rlmN	2.1.1.192	COG0820	Dual-specificity RNA methyltransferase RlmN
AABHNHAC_02529	CDS	432	ndk	2.7.4.6	COG0105	Nucleoside diphosphate kinase
AABHNHAC_02530	CDS	2274	pbpC		COG4953	Penicillin-binding protein 1C
AABHNHAC_02531	CDS	4962	yfhM		COG2373	Alpha-2-macroglobulin
AABHNHAC_02532	CDS	846	sseA	2.8.1.2	COG2897	3-mercaptopyruvate sulfurtransferase
AABHNHAC_02533	CDS	777				hypothetical protein
AABHNHAC_02534	CDS	1284	pepB	3.4.11.23	COG0260	Peptidase B
AABHNHAC_02535	CDS	201	iscX		COG2975	Protein IscX
AABHNHAC_02536	CDS	336	fdx		COG0633	2Fe-2S ferredoxin
AABHNHAC_02537	CDS	1851	hscA		COG0443	Chaperone protein HscA
AABHNHAC_02538	CDS	516	hscB		COG1076	Co-chaperone protein HscB
AABHNHAC_02539	CDS	324	iscA		COG0316	Iron-binding protein IscA
AABHNHAC_02540	CDS	387	iscU		COG0822	Iron-sulfur cluster assembly scaffold protein IscU
AABHNHAC_02541	CDS	1215	iscS	2.8.1.7	COG1104	Cysteine desulfurase IscS
AABHNHAC_02542	CDS	489	iscR		COG1959	HTH-type transcriptional regulator IscR
AABHNHAC_02543	CDS	741	trmJ	2.1.1.200	COG0565	tRNA (cytidine/uridine-2'-O-)-methyltransferase TrmJ
AABHNHAC_02544	CDS	804	suhB	3.1.3.25	COG0483	Inositol-1-monophosphatase
AABHNHAC_02545	CDS	855			COG1073	putative protein
AABHNHAC_02546	CDS	1281				hypothetical protein
AABHNHAC_02547	CDS	1140	hcaT			putative 3-phenylpropionic acid transporter
AABHNHAC_02548	CDS	891	hcaR_3			Hca operon transcriptional activator HcaR
AABHNHAC_02549	CDS	1362	hcaE	1.14.12.19	COG4638	3-phenylpropionate/cinnamic acid dioxygenase subunit alpha
AABHNHAC_02550	CDS	519	hcaF	1.14.12.19	COG5517	3-phenylpropionate/cinnamic acid dioxygenase subunit beta
AABHNHAC_02551	CDS	321	hcaC		COG2146	3-phenylpropionate/cinnamic acid dioxygenase ferredoxin subunit
AABHNHAC_02552	CDS	813	hcaB	1.3.1.87		3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase
AABHNHAC_02553	CDS	1203	hcaD	1.18.1.3	COG0446	3-phenylpropionate/cinnamic acid dioxygenase ferredoxin--NAD(+) reductase component
AABHNHAC_02554	CDS	423	yphA		COG2259	Inner membrane protein YphA
AABHNHAC_02555	CDS	873	yphB		COG2017	putative protein YphB
AABHNHAC_02556	CDS	1062	gutB	1.1.1.-	COG1063	Sorbitol dehydrogenase
AABHNHAC_02557	CDS	999	rbsC_1		COG1172	Ribose import permease protein RbsC
AABHNHAC_02558	CDS	1512	mglA_2	7.5.2.11	COG1129	Galactose/methyl galactoside import ATP-binding protein MglA
AABHNHAC_02559	CDS	984	yphF		COG1879	ABC transporter periplasmic-binding protein YphF
AABHNHAC_02560	CDS	3282	lapB_2			Lipopolysaccharide assembly protein B
AABHNHAC_02561	CDS	1194	mlc_2		COG1940	Protein mlc
AABHNHAC_02562	CDS	1254	glyA	2.1.2.1	COG0112	Serine hydroxymethyltransferase
AABHNHAC_02563	CDS	1191	hmp	1.14.12.17	COG1017	Flavohemoprotein
AABHNHAC_02564	CDS	339	glnB		COG0347	Nitrogen regulatory protein P-II 1
AABHNHAC_02565	CDS	1335	qseF		COG2204	Transcriptional regulatory protein QseF
AABHNHAC_02566	CDS	714	qseG			Quorum-sensing regulator protein G
AABHNHAC_02567	CDS	1383	glrK	2.7.13.3		Sensor histidine kinase GlrK
AABHNHAC_02568	CDS	3888	purL	6.3.5.3	COG0046	Phosphoribosylformylglycinamidine synthase
AABHNHAC_02569	CDS	1557	mltF	4.2.2.-	COG4623	Membrane-bound lytic murein transglycosylase F
AABHNHAC_02570	CDS	504	tadA	3.5.4.33	COG0590	tRNA-specific adenosine deaminase
AABHNHAC_02571	CDS	636	pgpC	3.1.3.27	COG0560	Phosphatidylglycerophosphatase C
AABHNHAC_02572	CDS	849	murR_2		COG1737	HTH-type transcriptional regulator MurR
AABHNHAC_02573	CDS	261	yfhL		COG1145	Ferredoxin YfhL
AABHNHAC_02574	CDS	381	acpS	2.7.8.7	COG0736	Holo-[acyl-carrier-protein] synthase
AABHNHAC_02575	CDS	732	pdxJ	2.6.99.2	COG0854	Pyridoxine 5'-phosphate synthase
AABHNHAC_02576	CDS	729	recO		COG1381	DNA repair protein RecO
AABHNHAC_02577	CDS	906	era_2		COG1159	GTPase Era
AABHNHAC_02578	CDS	681	rnc	3.1.26.3	COG0571	Ribonuclease 3
AABHNHAC_02579	CDS	975	lepB	3.4.21.89	COG0681	Signal peptidase I
AABHNHAC_02580	CDS	1800	lepA	3.6.5.-	COG0481	Elongation factor 4
AABHNHAC_02581	CDS	480	rseC		COG3086	Protein RseC
AABHNHAC_02582	CDS	957	rseB		COG3026	Sigma-E factor regulatory protein RseB
AABHNHAC_02583	CDS	651	rseA		COG3073	Anti-sigma-E factor RseA
AABHNHAC_02584	CDS	576	rpoE		COG1595	ECF RNA polymerase sigma-E factor
AABHNHAC_02585	CDS	1623	nadB	1.4.3.16	COG0029	L-aspartate oxidase
AABHNHAC_02586	CDS	738	yfiC	2.1.1.223	COG4123	tRNA1(Val) (adenine(37)-N6)-methyltransferase
AABHNHAC_02587	CDS	1335	srmB_2	3.6.4.13	COG0513	ATP-dependent RNA helicase SrmB
AABHNHAC_02588	CDS	882	cmpR			HTH-type transcriptional activator CmpR
AABHNHAC_02589	CDS	588	eamB		COG1280	Cysteine/O-acetylserine efflux protein
AABHNHAC_02590	CDS	384	grcA		COG3445	Autonomous glycyl radical cofactor
AABHNHAC_02591	CDS	690	ung	3.2.2.27	COG0692	Uracil-DNA glycosylase
AABHNHAC_02592	CDS	1038	yfiF	2.1.1.-	COG0566	putative tRNA/rRNA methyltransferase YfiF
AABHNHAC_02593	CDS	420	trxC	1.8.1.8	COG0526	Thioredoxin 2
AABHNHAC_02594	CDS	699				hypothetical protein
AABHNHAC_02595	CDS	2661	patZ	2.3.1.-	COG0454	Peptidyl-lysine N-acetyltransferase PatZ
AABHNHAC_02596	CDS	1356	pssA	2.7.8.8	COG1502	CDP-diacylglycerol--serine O-phosphatidyltransferase
AABHNHAC_02597	CDS	273				hypothetical protein
AABHNHAC_02598	CDS	1299	kgtP			Alpha-ketoglutarate permease
AABHNHAC_02599	rRNA	111				5S ribosomal RNA
AABHNHAC_02600	rRNA	2901				23S ribosomal RNA
AABHNHAC_02601	tRNA	76				tRNA-Glu(ttc)
AABHNHAC_02602	rRNA	1538				16S ribosomal RNA
AABHNHAC_02603	CDS	2574	clpB		COG0542	Chaperone protein ClpB
AABHNHAC_02604	CDS	732	yfiH	1.10.3.-	COG1496	Polyphenol oxidase
AABHNHAC_02605	CDS	981	rluD	5.4.99.23	COG0564	Ribosomal large subunit pseudouridine synthase D
AABHNHAC_02606	CDS	738	bamD		COG4105	Outer membrane protein assembly factor BamD
AABHNHAC_02607	CDS	342	raiA		COG1544	Ribosome-associated inhibitor A
AABHNHAC_02608	CDS	1161	pheA		COG0077	Bifunctional chorismate mutase/prephenate dehydratase
AABHNHAC_02609	CDS	1122	tyrA		COG0287	T-protein
AABHNHAC_02610	CDS	1071	aroF	2.5.1.54	COG0722	Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive
AABHNHAC_02611	CDS	363				hypothetical protein
AABHNHAC_02612	CDS	519				hypothetical protein
AABHNHAC_02613	CDS	1227	dgcN	2.7.7.65	COG2199	Diguanylate cyclase DgcN
AABHNHAC_02614	CDS	483	pal_2			Peptidoglycan-associated lipoprotein
AABHNHAC_02615	CDS	348	rplS		COG0335	50S ribosomal protein L19
AABHNHAC_02616	CDS	768	trmD	2.1.1.228	COG0336	tRNA (guanine-N(1)-)-methyltransferase
AABHNHAC_02617	CDS	549	rimM		COG0806	Ribosome maturation factor RimM
AABHNHAC_02618	CDS	249	rpsP		COG0228	30S ribosomal protein S16
AABHNHAC_02619	CDS	1362	ffh		COG0541	Signal recognition particle protein
AABHNHAC_02620	CDS	867	ypjD		COG4137	Inner membrane protein YpjD
AABHNHAC_02621	CDS	1242				hypothetical protein
AABHNHAC_02622	CDS	594	grpE		COG0576	Protein GrpE
AABHNHAC_02623	CDS	879	nadK	2.7.1.23	COG0061	NAD kinase
AABHNHAC_02624	CDS	1662	recN		COG0497	DNA repair protein RecN
AABHNHAC_02625	CDS	342	bamE		COG2913	Outer membrane protein assembly factor BamE
AABHNHAC_02626	CDS	291				hypothetical protein
AABHNHAC_02627	CDS	450	ratA		COG2867	Ribosome association toxin RatA
AABHNHAC_02628	CDS	483	smpB		COG0691	SsrA-binding protein
AABHNHAC_02629	CDS	126				hypothetical protein
AABHNHAC_02630	tmRNA	363	ssrA			transfer-messenger RNA, SsrA
AABHNHAC_02631	CDS	1242	intA_1		COG0582	Prophage integrase IntA
AABHNHAC_02632	CDS	957				hypothetical protein
AABHNHAC_02633	CDS	213				hypothetical protein
AABHNHAC_02634	CDS	1410				hypothetical protein
AABHNHAC_02635	CDS	627				hypothetical protein
AABHNHAC_02636	CDS	2190				hypothetical protein
AABHNHAC_02637	CDS	1617				hypothetical protein
AABHNHAC_02638	CDS	1074	rnlA	3.1.-.-		mRNA endoribonuclease toxin LS
AABHNHAC_02639	CDS	372	rnlB			Antitoxin RnlB
AABHNHAC_02640	CDS	864	era_3			GTPase Era
AABHNHAC_02641	CDS	822				hypothetical protein
AABHNHAC_02642	CDS	702				hypothetical protein
AABHNHAC_02643	CDS	237				hypothetical protein
AABHNHAC_02644	CDS	444	yfjS			Lipoprotein YfjS
AABHNHAC_02645	CDS	468				hypothetical protein
AABHNHAC_02646	CDS	315				hypothetical protein
AABHNHAC_02647	CDS	594	arsB_1		COG1055	Arsenical pump membrane protein
AABHNHAC_02648	CDS	201	arsB_2		COG1055	Arsenical pump membrane protein
AABHNHAC_02649	CDS	1704				hypothetical protein
AABHNHAC_02650	CDS	459	klcA_2			Antirestriction protein KlcA
AABHNHAC_02651	CDS	483				hypothetical protein
AABHNHAC_02652	CDS	201				hypothetical protein
AABHNHAC_02653	CDS	318	yfjZ_2			Antitoxin YfjZ
AABHNHAC_02654	CDS	330	ypjF			Toxin YpjF
AABHNHAC_02655	CDS	4581				putative autotransporter
AABHNHAC_02656	CDS	792				hypothetical protein
AABHNHAC_02657	CDS	483				hypothetical protein
AABHNHAC_02658	tRNA	76				tRNA-Met(cat)
AABHNHAC_02659	CDS	333				hypothetical protein
AABHNHAC_02660	CDS	687				hypothetical protein
AABHNHAC_02661	CDS	792				hypothetical protein
AABHNHAC_02662	CDS	978	glaH	1.14.11.-		Glutarate 2-hydroxylase
AABHNHAC_02663	CDS	1269	lhgD	1.1.5.-	COG0579	L-2-hydroxyglutarate dehydrogenase
AABHNHAC_02664	CDS	1449	gabD	1.2.1.79	COG1012	Succinate-semialdehyde dehydrogenase [NADP(+)] GabD
AABHNHAC_02665	CDS	1281	gabT	2.6.1.19	COG0160	4-aminobutyrate aminotransferase GabT
AABHNHAC_02666	CDS	1401	gabP		COG1113	GABA permease
AABHNHAC_02667	CDS	663	glaR		COG1802	HTH-type transcriptional repressor GlaR
AABHNHAC_02668	CDS	450	kbp		COG1652	Potassium binding protein Kbp
AABHNHAC_02669	CDS	159				hypothetical protein
AABHNHAC_02670	CDS	300	ygaV		COG0640	putative HTH-type transcriptional regulator YgaV
AABHNHAC_02671	CDS	525	ygaP		COG0607	Inner membrane protein YgaP
AABHNHAC_02672	CDS	405	stpA		COG2916	DNA-binding protein StpA
AABHNHAC_02673	CDS	450	alaE			L-alanine exporter AlaE
AABHNHAC_02674	CDS	345				hypothetical protein
AABHNHAC_02675	CDS	330	ygaM		COG4575	putative protein YgaM
AABHNHAC_02676	CDS	246	nrdH		COG0695	Glutaredoxin-like protein NrdH
AABHNHAC_02677	CDS	411	nrdI		COG1780	Protein NrdI
AABHNHAC_02678	CDS	2145	nrdE	1.17.4.1	COG0209	Ribonucleoside-diphosphate reductase 2 subunit alpha
AABHNHAC_02679	CDS	960	nrdF	1.17.4.1	COG0208	Ribonucleoside-diphosphate reductase 2 subunit beta
AABHNHAC_02680	CDS	1203	proV		COG4175	Glycine betaine/proline betaine transport system ATP-binding protein ProV
AABHNHAC_02681	CDS	1065	proW		COG4176	Glycine betaine/proline betaine transport system permease protein ProW
AABHNHAC_02682	CDS	993	proX		COG2113	Glycine betaine/proline betaine-binding periplasmic protein
AABHNHAC_02683	CDS	267				putative transporter
AABHNHAC_02684	CDS	918				putative transporter
AABHNHAC_02685	CDS	738	ygaZ		COG1296	Inner membrane protein YgaZ
AABHNHAC_02686	CDS	336				hypothetical protein
AABHNHAC_02687	CDS	531	mprA		COG1846	Transcriptional repressor MprA
AABHNHAC_02688	CDS	1173	emrA		COG1566	Multidrug export protein EmrA
AABHNHAC_02689	CDS	1539	emrB			Multidrug export protein EmrB
AABHNHAC_02690	CDS	516	luxS	4.4.1.21	COG1854	S-ribosylhomocysteine lyase
